Points For,Points Against,Strength of Schedule,Yards Per Play,Turnovers,Yards From Penalties,Offensive Rating,Defensive Rating,Location
0.875,-0.5,-0.2,-0.20000000000000018,0.0,1.0625,1.5,-0.30000000000000027,1.0
-1.5625,1.3125,-0.8,-0.6000000000000005,0.125,0.0625,-1.6999999999999997,-2.0,1.0
0.9375,2.125,-1.5,-0.20000000000000018,-0.125,-12.9375,0.5,-3.2,-1.0
0.8125,1.9375,1.4,0.2999999999999998,0.375,11.25,2.1,-1.8000000000000003,-1.0
2.625,2.6875,-2.0,0.09999999999999964,0.125,-6.3125,2.2,-4.300000000000001,1.0
5.5,-3.5,-2.1,0.1999999999999993,-0.6875,1.0625,5.1,1.7999999999999998,-1.0
4.5625,1.625,-2.0,0.5999999999999996,0.25,5.0,4.2,-3.3000000000000003,1.0
5.5,-2.375,-0.4,0.39999999999999947,0.25,-7.375,6.0,1.5,-1.0
2.3125,0.4375,-0.5,0.0,0.125,18.0625,2.4000000000000004,-1.0000000000000002,-1.0
8.125,-1.125,1.2999999999999998,1.0,-0.625,-14.125,9.5,1.0999999999999996,1.0
2.8125,1.75,0.09999999999999998,0.5,-0.25,0.875,3.5,-2.4000000000000004,1.0
-1.5625,1.3125,-0.8,-0.6000000000000005,0.125,0.0625,-1.6999999999999997,-2.0,-1.0
0.9375,2.125,-1.5,-0.20000000000000018,-0.125,-12.9375,0.5,-3.2,1.0
0.3125,7.8125,-0.7,0.1999999999999993,0.6875,0.0625,0.8,-9.100000000000001,-1.0
4.5625,1.5,0.8,1.2000000000000002,-1.25,3.375,5.0,-1.2,1.0
-5.9375,5.6875,0.0,0.10000000000000053,-0.4375,1.625,-5.6,-6.2,-1.0
2.6875,0.0625,-0.39999999999999997,0.40000000000000036,-0.25,3.0625,2.6,-0.5,-1.0
8.0625,-2.1875,1.0,1.6000000000000005,-1.3125,-21.3125,8.8,2.4,1.0
4.25,-1.75,-0.49999999999999994,1.1000000000000005,-0.9375,3.8125,3.6999999999999997,1.7000000000000002,1.0
3.3125,-4.3125,-1.1,0.7999999999999998,-1.125,-11.1875,2.7,3.6999999999999997,-1.0
7.75,0.875,-1.8,1.0,-0.8125,-9.0625,7.800000000000001,-2.8,-1.0
-4.5625,3.625,-1.4,-0.09999999999999964,-0.125,2.625,-5.3,-4.4,1.0
-4.625,0.8125,-1.2999999999999998,-0.2999999999999998,-0.25,-18.4375,-5.0,-1.9,1.0
0.75,0.875,1.1,0.9000000000000004,-0.3125,4.0625,1.4,-0.5,-1.0
3.3125,-4.3125,-1.1,0.7999999999999998,-1.125,-11.1875,2.7,3.6999999999999997,1.0
5.4375,-4.5625,-2.4,0.7999999999999998,-1.375,-6.125,4.4,3.1,-1.0
-2.25,1.0625,0.7,0.20000000000000018,-0.6875,-10.625,-2.2,-0.5,-1.0
2.6875,0.0625,-0.39999999999999997,0.40000000000000036,-0.25,3.0625,2.6,-0.5,1.0
4.5625,1.5,0.8,1.2000000000000002,-1.25,3.375,5.0,-1.2,-1.0
-5.9375,5.6875,0.0,0.10000000000000053,-0.4375,1.625,-5.6,-6.2,1.0
-0.3125,-7.8125,0.7,-0.1999999999999993,-0.6875,-0.0625,-0.8,9.100000000000001,-1.0
4.25,-6.1875,-1.3,0.40000000000000036,-0.4375,4.9375,3.4000000000000004,5.800000000000001,1.0
0.625,-5.6875,-0.8,-0.39999999999999947,-0.8125,-13.0,-0.30000000000000004,5.9,1.0
4.3125,-7.1875,-0.10000000000000003,-0.2999999999999998,-0.625,-7.1875,4.0,7.5,-1.0
5.1875,-11.3125,-1.4,0.0,-1.375,1.0,4.3,10.9,-1.0
2.3125,-5.125,-1.3,-0.09999999999999964,-0.5625,-6.375,1.4,4.800000000000001,1.0
4.0,-8.5,0.5,0.3000000000000007,-0.9375,10.9375,3.5999999999999996,9.5,1.0
-1.875,-6.5,-0.10000000000000003,-0.7999999999999998,-0.5625,0.0,-2.5,7.1000000000000005,-1.0
2.0,-7.375,0.19999999999999998,-0.1999999999999993,-0.5625,18.0,1.6,8.1,1.0
2.3125,-5.125,-1.3,-0.09999999999999964,-0.5625,-6.375,1.4,4.800000000000001,-1.0
0.625,-5.1875,1.0,0.20000000000000018,-1.0625,3.75,0.9,6.0,1.0
-4.8125,-3.125,-0.39999999999999997,-0.8999999999999995,-0.125,9.75,-5.4,3.4000000000000004,-1.0
0.625,-5.6875,-0.8,-0.39999999999999947,-0.8125,-13.0,-0.30000000000000004,5.9,-1.0
-2.5,-5.6875,1.7,-0.5999999999999996,-0.6875,-3.5,-2.3,7.300000000000001,-1.0
-1.875,-6.5,-0.10000000000000003,-0.7999999999999998,-0.5625,0.0,-2.5,7.1000000000000005,1.0
-0.3125,-7.8125,0.7,-0.1999999999999993,-0.6875,-0.0625,-0.8,9.100000000000001,1.0
-2.375,-0.625,-2.2,-0.9000000000000004,-0.25,-11.1875,-3.8,-0.2,-1.0
3.8125,0.625,-0.30000000000000004,0.2999999999999998,-0.9375,-0.6875,3.5999999999999996,-0.7,1.0
1.1875,1.1875,0.4999999999999998,-0.2999999999999998,0.25,-16.9375,1.3,-0.8,1.0
3.8125,-1.3125,-2.2,-0.40000000000000036,-0.3125,-18.375,2.7,0.19999999999999996,-1.0
7.3125,-3.0625,-0.10000000000000009,0.7000000000000002,-1.0,-25.375,7.4,2.9,1.0
-0.8125,-1.9375,-1.4,-0.2999999999999998,-0.375,-11.25,-2.1,1.8000000000000003,1.0
3.5,-2.625,-1.6,0.20000000000000018,-0.625,-0.25,2.3,2.2,-1.0
-3.0,0.1875,-0.40000000000000013,-0.7000000000000002,-0.375,-14.6875,-3.6,0.0,-1.0
1.1875,1.1875,0.4999999999999998,-0.2999999999999998,0.25,-16.9375,1.3,-0.8,-1.0
-0.75,-0.875,-1.1,-0.9000000000000004,0.3125,-4.0625,-1.4,0.5,1.0
7.3125,-3.0625,-0.10000000000000009,0.7000000000000002,-1.0,-25.375,7.4,2.9,-1.0
3.5,-2.625,-1.6,0.20000000000000018,-0.625,-0.25,2.3,2.2,1.0
-6.6875,4.8125,-1.1,-0.7999999999999998,-0.125,-2.4375,-7.0,-5.7,-1.0
2.5625,-5.1875,-2.2,-0.10000000000000053,-0.8125,-15.25,1.3,4.199999999999999,-1.0
-3.0,0.1875,-0.40000000000000013,-0.7000000000000002,-0.375,-14.6875,-3.6,0.0,1.0
0.125,0.6875,-1.1,0.09999999999999964,-0.75,-7.4375,-0.4,-1.3,1.0
1.125,3.625,2.0999999999999996,0.20000000000000018,0.625,-6.75,1.9000000000000001,-2.3,-1.0
4.625,-1.875,-0.2,0.5999999999999996,0.25,-8.4375,4.5,1.8000000000000003,1.0
-0.875,0.5,0.2,0.20000000000000018,0.0,-1.0625,-1.5,0.30000000000000027,-1.0
0.0625,3.125,0.49999999999999994,0.5999999999999996,-0.375,2.75,0.2,-2.8,1.0
-3.0625,2.625,1.2,-0.20000000000000018,0.0,-4.5,-3.0,-1.5,1.0
6.9375,2.4375,-1.3,0.5999999999999996,-0.125,-2.9375,7.0,-3.8,-1.0
-3.625,2.9375,0.2,0.09999999999999964,-0.125,-0.25,-3.3,-3.0999999999999996,-1.0
3.75,1.125,-0.6000000000000001,0.09999999999999964,0.0625,-8.1875,3.3000000000000003,-1.2999999999999998,1.0
0.0625,2.625,-1.3,0.0,-0.125,-14.0,-1.0,-2.9,1.0
0.0625,3.125,0.49999999999999994,0.5999999999999996,-0.375,2.75,0.2,-2.8,-1.0
-3.625,2.9375,0.2,0.09999999999999964,-0.125,-0.25,-3.3,-3.0999999999999996,1.0
4.625,-1.875,-0.2,0.5999999999999996,0.25,-8.4375,4.5,1.8000000000000003,-1.0
-3.4375,3.75,-0.6000000000000001,-0.2999999999999998,0.6875,14.4375,-3.4,-4.4,-1.0
-2.6875,0.875,-0.5,-0.20000000000000018,0.375,14.625,-3.0,-1.0999999999999999,1.0
